club_name,club_description,page_url
Lehman College's Veterans Club,"TheLehman College Veterans Clubis a welcoming community open to all Lehman students who are Veterans, Service Members, Dependents, andSupporters.As a cornerstone of support, knowledge, and representation, we uphold the values of asoldier, student, and citizen—honor, dedication, and continuous growth. Our mission is to foster camaraderie among student veterans while enriching the college experience throughcultural, social, and educational initiatives.We host dynamic events, collaborative opportunities, and meaningful engagements that connect student veterans with each other and the broader campus community. Whether you’re looking fornetworking, mentorship, advocacy, or simply a place to belong, the Veterans Club is here to ensure that your time at Lehman is both rewarding and impactful.Join us—together, we lead, learn, and serve.",https://lehman.campuslabs.com/engage/organization/lcvc
Lehman Girls Who Code College Loop,"Girls Who Codeembarks on a transformative endeavor to redefine the realm of programming and challenge conventional perceptions of programmers.Our unwavering commitment lies in bridging the gender gap within the technology sector and opening doors for women to venture into groundbreaking opportunities in the world of tech.We aspire to unite women, empowering them to navigate their collegiate paths in computer science with unwavering support.Our ultimate vision encompasses fostering an inclusive and nurturing environment that wholeheartedly inspires women to pursue fulfilling careers in computer science, equipping them with invaluable technical expertise and marketable skills to become the trailblazing female engineers of tomorrow.**To become a full member**:* Sign up for our Club Central* Sign up for our GWC HQ:https://hq.girlswhocode.com/login>>Steps to apply to HQ:** if you have not created an account **1) Create an account2) Use Code:CL56629>>To Keep In Touch With Us:>Join our discord: https://discord.gg/VYajdEZkK>Follow our Instagram: https://www.instagram.com/girlswhocode.lc/Any Questions Please Reach Out To Us@girlswhocodelc@gmail.com",https://lehman.campuslabs.com/engage/organization/girlswhocodelc
Blueprint to Success (Cohort 3),No Description Found,https://lehman.campuslabs.com/engage/organization/bts3
Counseling Center,"The mission of the Counseling Center is to assist students with emotional, developmental, and psychological concerns that may be affecting their personal and academic growth. Our goal is to assist students in coping with the challenges of college and life in a productive, healthy manner. Students have access to free, confidential individual and group therapy.For more information and additional events click here:@lehman_counseling | Linktree",https://lehman.campuslabs.com/engage/organization/counselingcenter
CUNY EDGE Program,"CUNY EDGE provides students with a range of services, benefits, and supports so that they succeed in college and in their careers.CUNY EDGE envisions a world in which all people have access to the educational opportunities and support they need to realize academic success, a sustainable career, and a brighter future.CUNY EDGE’s mission is to help CUNY students who are receiving public assistance achieve academic excellence, graduate on time, and find employment.",https://lehman.campuslabs.com/engage/organization/cuny-edge
Minorities in Sports Business Club (MISnext) ,"MiS Purpose:(A) To establish a strong union among minority students pursuing careers in the sports industry at the College of lehman for the purpose of receiving guidance from both MiS Next and its professional members in MiS.(B) To promote academic excellence at the College of Lehman.(C) To meet for the purpose of exchanging sports business-related ideas and information through workshops, symposiums and lectures.(D) To inform members of national and digital MiS Next events including workshops, conferences, webinars, group chats and conventions, and assist members with short and long-range career planning.(E) To promote Association’s sports industry-related internships, jobs, scholarships, grants and awards to Chapter members.(F) To honor excellence and outstanding achievements in the sports industry by members and chapter alumni.",https://lehman.campuslabs.com/engage/organization/misnext
The Lehman Modeling Club,"The Lehman Modeling Club is a community that encourages all enrolled students of Herbert H. Lehman College to express themselves creatively through photography and fashion.The club provides opportunities for students who are interested and/or have a passion for modeling, photography and fashion or any area of the arts, regardless of height, size, race, religion, complexion, gender, sexual orientation or sense of style.",https://lehman.campuslabs.com/engage/organization/lehmanmodelingclub
The Meridian,"General InformationThe Meridian, the student voice of Lehman College, derives its name from Meridian, Mississippi, the town that served as a base for many of the Freedom Riders of 1964. It was the departure point for volunteers James Chaney, Andrew Goodman, and Michael Schwerner, who traveled to Philadelphia, Mississippi to investigate a church bombing. There they were killed by local law enforcement and the Ku Klux Klan, and thus they became martyrs in the struggle for equality.Serving Lehman College since 1964,The Meridianis the students’ and faculty’s primary source of collegiate news. Every month we provide readers with hard-hitting news stories and passionate arts, theater, dance, music and book reviews.",https://lehman.campuslabs.com/engage/organization/themeridian
Pre-Nursing Club,"The Pre-Nursing Club aims to help future nursing students prepare for their major and stay on the right track when applying to the Nursing program and after getting into the program.Join ourWhatsApp Group ChatJoin ourInstagram PageOur club is here to support all students, especially Pre-Nursing Students. For students like you who want to know more about the Nursing Program, the best people to speak to are the following Pre-Nursing Advisors and Nursing Admissions Department:1. Tishana Daniel - Pre-Nursing/Nursing Academic Advisortishana.daniel@lehman.cuny.edu2. Donna Covington-Hargrove - Pre-Nursing Academic Advisordonna@lehman.cuny.edu3. Sky Castillo - Nursing Admissions Specialistyaskairy.castillo@lehman.cuny.edu4. Masuda Tanny - Nursing Admissions Coordinatormasuda.tanny@lehman.cuny.eduVisit theLehman College- Department of Nursingwebsite.",https://lehman.campuslabs.com/engage/organization/prenursingclub
Cuny Skates ,"CUNY Skates is a social and active club dedicated to brining students into the skate park and building community, regardless of experience level. Whether you’re new to skating or highly skilled, this club offers a space to connect, discuss experiences, and learn from one another. Through peer-led guidance, members will have the opportunity to develop fundamental skateboarding skills, understand essential safety practices, and gain hands-on experience in assembling and maintaining their own boards. Our goal is to empower skaters of all styles and backgrounds with the confidence and knowledge to ride safely and independently.",https://lehman.campuslabs.com/engage/organization/cunyskates
Lehman Art Society ,No Description Found,https://lehman.campuslabs.com/engage/organization/lehmanartsociety
Society for Human Resource Management Lehman College Student Chapter,"This organization has been created to inspire the growth, knowledge, and continuation of our respective careers in Human Resources Management through collective knowledge, respect and mutual support among chapter members and through our affiliation with national, sponsoring and other student chapters.To achieve these objectives, there shall be no discrimination in individual membership or chapter affiliations because of race, religion, sex, age, sexual orientation or national origin.",https://lehman.campuslabs.com/engage/organization/lcshrm
"Earth, Environmental, & Geospatial Science Club","Welcome to the Earth / EEGS Club! 𓍊𓋼𓆏𓋼𓍊Open to anyone interested in growing a community of stewards at Lehman College. We hope to host events like talks on technical applications, field trips, volunteering with community partners, gardening, movies-- anything under the sun! Being one of the smaller STEM departments, we hope creating this club will not only help develop a sense of community amongst EEGS students, but to also catch the eye of those in adjacent majors! <3If you are interested in joining the email list/student chat, and/or telling us your thoughts, please fill out our intake formhere! <3",https://lehman.campuslabs.com/engage/organization/eegsclub
Bangladeshi Student Association,The Bangladeshi Student Association will serve as a student organization to spread Bangladeshi Culture to both Lehman College and CUNY students. We promote Bangladeshi Culture through several events that range from lively social events to enlightening cultural shows. BSA will heavily rely on the Lehman College Student Government to help spread Bangladeshi cultural awareness. We will also actively encourage students of all ethnicities to help us achieve and promote a wider understanding of Bangladeshi Culture. We will also have networking events from time to time.,https://lehman.campuslabs.com/engage/organization/bsa
Spoken Word & Speech Language Pathology,"A platform inclusive for individuals with communication disorders, anxiety disorders and those who struggle speaking publicly, to share expressively through spoken word and creative writing, using insights of SLP to influence our approach.",https://lehman.campuslabs.com/engage/organization/swslp
CREAR Futuros,"CREAR (College REadiness, Achievement and Retention) Futurosis a peer-mentor program that recruits qualified Latinx students in participating educational institutions to mentor, guide, and support younger students, or mentees. Mentors assist mentees regarding tutoring, financial aid, and resources available to them including, services offered by Hispanic Federation’s community-based member organizations.The goal of the program is to:1) Provide a mechanism of support to Latinx students that ensures better academic outcomes, including greater rates of degree completion.2) Promote leadership while providing financial support to qualified, selected and contracted Latinx student leaders to serve as mentors.CREAR Futurosis focused specifically on actions that support college access, retention, and graduation rates for Latinx students in New York City, Florida, Connecticut, North Carolina, Illinois and California.CREAR Futurosfocuses on Latinx students, yet activities are open to all eligible students regardless of race or national origin.",https://lehman.campuslabs.com/engage/organization/crear-futuros
Urban Male Leadership Program,"The Urban Male Leadership Program (UMLP) is focused on the recruitment, retention, academic success and graduation of students, especially underrepresented Black and Latino males in higher education. The UMLP fulfills its mission to support high achievement through monthly academic intervention and success workshops and leadership development trainings. Furthermore, each interested UMLP student, is presented with an opportunity to participate in the Circle of Support Mentorship program. As a Circle of Support participant, UMLP Students are paired with another student, staff member, faculty member or senior administrator, in order to further assist in their academic and social development at Lehman College.",https://lehman.campuslabs.com/engage/organization/urbanmaleleadershipprogram
CUNY Coalition for Students with Disabilities ,"In accordance with the Lehman mission statement that the college shall “serves the Bronx and surrounding region as an intellectual, economic, and cultural center. Lehman College provides undergraduate and graduate studies in the liberal arts and sciences and professional education within a dynamic research environment, while embracing diversity and actively engaging students in their academic, personal, and professional development,” the purpose of this club shall be:Section 1: To promote the dignity and independence of all Lehman students with disabilities, whether or not they have registered with the disability services office.Section 2: To serve as a representative organization for all Lehman students with disabilities and our allies.Section 3: To advocate for (and on behalf of) all Lehman students with disabilities.Section 4: To provide a venue for inter-departmental and inter-organizational collaboration to address social and accessibility concerns for all Lehman students with disabilities.Section 5: To serve as a forum on campus for the expression and exchange of ideas, opinions, and aspirations of Lehman students with disabilities and our allies.Section 6: To strengthen the disability community of the Bronx.We acknowledge that this club draws its mission, policies, and procedures from the University-wide CUNY Coalition of Students with Disabilities and adapts them in accordance with the mission, policies, and procedures of Lehman College. We also acknowledge that while there will be regular collaboration with the University-wide CCSD, CCSD @ Lehman will ultimately operate as an independent club and will have the freedom to tailor its practices to meet the needs of its students and honor the rules and regulations governing Lehman.",https://lehman.campuslabs.com/engage/organization/ccsd-at-lehman
The Archimedes Club,"Our club is named after the legendary ancient mathematician Archimedes, known for his groundbreaking discoveries and contributions to the world of mathematics. In the spirit of Archimedes, we aim to explore the limitless possibilities of math and share our enthusiasm with the entire college community.What We Do:Math Enthusiasts Unite:Archimedes Club is an inclusive space for students of all skill levels. Whether you're a calculus champion or just starting to grasp algebra, you'll find engaging activities and a supportive community here.Access to Workshops:Join us for interactive and informative workshops that cover a wide range of mathematical topics. From geometry to probability, we'll help you strengthen your math skills and tackle challenging problems.Math Challenges:Put your mathematical prowess to the test in our fun and friendly math competitions. Win prizes and bragging rights while sharpening your problem-solving abilities.Guest Speakers:We regularly invite guest speakers from various fields that use mathematics, such as cryptography, computer science, and finance. You'll gain insights into real-world applications of math and potential career paths.Math Outreach:At Archimedes Club, we believe in giving back to the community. Join us in organizing math-related events for local schools and community centers, inspiring the next generation of math enthusiasts.Math Socials:Beyond the numbers, we're a close-knit group of individuals who enjoy each other's company. Join us for math-themed movie nights, game nights, and other social events.Math Resources:Gain access to a treasure trove of math resources, including books, online courses, and study groups. We're here to help you excel in your math studies.Join the Archimedes Club and embark on a journey to discover the magic of mathematics. Whether you're pursuing a math-related degree or simply want to appreciate the elegance of mathematical concepts, our club offers a welcoming and intellectually stimulating environment. Come geek out with us and let your inner math genius shine!",https://lehman.campuslabs.com/engage/organization/tac
Lehman Ping-Pong Club,No Description Found,https://lehman.campuslabs.com/engage/organization/lehmanpingpongclub
Voices of Impact,"The purpose of the Club is to:1. Provide a safe, inclusive, and supportive environment for students at Lehman College without fear of being judged.2. Address challenges such as lack of employment opportunities, social discrimination, and housing insecurity through targeted resources and programming.3. Empower students to achieve their academic and career goals by curating opportunities such as internships and externships accessible to them.4. Host guest speakers with relevant experiences to inspire and educate members.5. Foster a community that promotes understanding, advocacy, and resilience.",https://lehman.campuslabs.com/engage/organization/vip-club
Lehman Flag Football Club ,"The Lehman College Flag Football Club is a dynamic and inclusive student organization dedicated to promoting the sport of flag football among both boys and girls at Lehman College. Our club provides an opportunity for students to engage in friendly competition, develop athletic skills, and engage in community amongst one another.Mission:Our mission is to create an enjoyable and supportive environment where students of all skill levels can participate in Flag Football. We aim to encourage physical fitness, sportsmanship, and support on all levels while offering a fun and competitive activity. This is a great opportunity to promote healthy lifestyles, and create lasting friendships, and also for growth within our own skills.ActivitiesWeekly Practices: To improve skills, build teamwork, and for scrimmages . Practices is open to players of all levels, from beginners to experienced athletes.Social Gatherings: Plan social events and team-building activities to strengthen relationships among members and create a sense of belonging within the club.Membership:Goals:-  Active participation and engagement amongst the  students.- To build a strong, supportive team environment that values sportsmanship, morals, and mutual respect.- To enhance the physical fitness and athletic skills of our members through structured practices and competitive plays.- To serve the Lehman Student Community through this  sport.",https://lehman.campuslabs.com/engage/organization/lehman_flagfootball
Lightning Central: Student-led Multimedia Organization,"Lightning Central, the Lehman College Radio Station, is an organization that represents Lehman College, and more importantly its students. We host events, and create podcasts, and content for everyone on campus!",https://lehman.campuslabs.com/engage/organization/lcradio
Office of International Programs & Community Engagement,"The Office of International Programs & Community Engagement is dedicated to supporting the holistic development of all students as global citizens by providing opportunities for local, national and international engagement and service-learning that ensure U.S. compliance for international students and scholars, as well as domestic students interested in studying or engaging in service-learning abroad.",https://lehman.campuslabs.com/engage/organization/ipce
Child Care Center,"Mission StatementThe Lehman College Student Child Care Center is committed to providing the children and families of the College's student body with the highest quality early child care programs and support possible.PhilosophyThe Child Care Center's philosophy is to provide an environment where a child’s growth is supported and stimulated in all areas of development. Our program is rich with experiences in art, music, movement, science, language arts, and math, with plenty of room for nurturing individual interests. The teachers feel it’s important for the children to build their understandings through their own individual experiences, thus enabling them to think for themselves and question thoughtfully. In this way, the children know they are competent to learn, to grow, and to trust themselves as well as others.EligibilityYour child’s eligibility for the Child Care Center is contingent upon your status as a currently enrolled, matriculated Lehman College student. If at any time you should stop attending classes, your child would no longer be eligible to attend the Center.Child Care services are available ONLY for class-related times and activities on campus.The Center cannot make provisions for times that parents are off campus working or involved in non-class activities.",https://lehman.campuslabs.com/engage/organization/childcarecenter
New Student Orientation,Supporting the student in their transition to their college career and providing the student with the best possible foundation for their college experience,https://lehman.campuslabs.com/engage/organization/studentorientation
"Lehman College Tutoring Center (LTC): Humanities, Social Sciences, and Writing Tutoring","The Lehman College Tutoring Center (LTC) offers workshops and tutoring for undergraduate and graduate students seeking to improve their skills in writing, social sciences, and humanities subject areas. We can provide weekly or one-time individual appointments with a tutor, and we also offer walk-in tutoring in writing and for social sciences and humanities courses. Drop-in tutoring hours vary by semester and are available on a first-come, first-served basis. The Center also offers academic coaching. Academic coaches focus on helping the student with study skills applicable to a variety of subjects and strategies that allow the student to be successful in college, in their workplace, and in life in general  Some of the areas of focus during coaching sessions are time management, goal setting, study strategies, test preparation strategies, test-taking strategies, motivation, organization, planning, note-taking, reading strategies, critical thinking, and campus resources.",https://lehman.campuslabs.com/engage/organization/lehmantutoringcenter
Student Government Association's Executive Board,"The Student Government Association (SGA) of Lehman College is a bilateral government composed of officers who are elected by Lehman students. The officers govern the SGA Executive Board and the Legislative Assembly, and their responsibilities include influencing school policy, representing the student voice, helping to facilitate student/faculty relations, and overseeing student clubs/activities.The Lehman Student Government strives to support and empower students - both inside and outside of Lehman College - whether it is their academic life or work life. It also aims to provide a fun and memorable collegiate experience by holding events all around campus, ranging from educational events to fun events.",https://lehman.campuslabs.com/engage/organization/sga
School Of Business At Lehman College ,"The School of Business, with three departments (Accounting, Management and Business Innovation, and Finance, Information Systems, and Economics), launched July 1, 2022, followed by an official opening ceremony on September 15, 2022.Lehman College School of Business is committed to educating students in business competencies through innovative and experiential learning-based programs. It provides high-quality transformative education in partnerships with businesses in the Bronx, the rest of New York City, and beyond, to a diverse group of students, shaping them to become successful, ethical and socially responsible leaders, professionals and entrepreneurs.",https://lehman.campuslabs.com/engage/organization/schoolofbusinessatlehmancollege
First Love Lehman College,We discuss relevant topics pertaining to life and spirituality. The goal is to grow closer to each other and God to foster a family of believers. Food and refreshments will also be available at our meetings.,https://lehman.campuslabs.com/engage/organization/firstlove
Anime Club and Storytelling Club,No Description Found,https://lehman.campuslabs.com/engage/organization/anime-club
Lehman Audio Club,Meet with us at the Carman Hall Multimedia Center C42G every Tuesday from 4:30 to 5:30,https://lehman.campuslabs.com/engage/organization/lehmanaudioclub
Project Sunshine - Lehman College,"Hello everyone! Welcome to Project Sunshine. To know more about our mission, please copy and paste the YouTube link below! Below the link are our steps for the onboarding process. Please reach out to me if you have any questions. Thank you for being interested in our chapter!A video about our mission: https://youtu.be/Dt7CT7aiPxIOur onboarding process steps:*TelePlay is virtual volunteering; Here To Play is in-person volunteering*Complete theCUNY Lehman Project Sunshine Chapter Application.Complete steps 1 and 2 in theOnboarding Portal.Emailvolunteer@projectsunshine.orgto sign up for a Here to Play training, if proceeding to volunteer in a facility; upcoming sessions are listed in ‘step 3’ of the onboarding portal.If you have any questions regarding volunteering or the organization as a whole, please reach out to lpierce@projectsunshine.org! If you have any question regarding the Lehman Chapter specifically, please reach out to me at diana.cabral@lc.cuny.edu. Thank you again and have an awesome day!",https://lehman.campuslabs.com/engage/organization/projectsunshinelc
Aporia- The Philosophy Club,No Description Found,https://lehman.campuslabs.com/engage/organization/loveofwisdom-philosophyclub
The BoxingKaraoke Club,"BoxingKaraoke is a unique club that blends boxing and kickboxing training with public speaking and karaoke, offering a fun, interactive experience. Our goal is to help students build self-confidence, enhance communication skills, and foster a supportive
 community where they can express themselves both physically and verbally.By combining the discipline of martial arts with the power of self-expression, the Boxing Karaoke Club creates an empowering and inclusive space for personal growth. In this club, we’ll focus on learning boxing, kickboxing, Muay Thai, and mixed martial arts
 self-defense techniques.In addition to martial arts training, we’ll also enjoy lively karaoke sessions, self improvement discussions and may even incorporate dance or Zumba classes. It’s all about having fun while growing academically, physically, and personally!",https://lehman.campuslabs.com/engage/organization/boxingkaraoke
Welcome Week Organization,No Description Found,https://lehman.campuslabs.com/engage/organization/welcomeweek
Office of Campus Life,"The Campus Life staff assists student government and clubs in planning, budgeting, and implementing special programs. The staff also manages the daily operations of the Student Life Building. In consultation with the College community, the Office of Campus Life sponsors leadership training retreats, sexual harassment education seminars, and new student orientation programs, as well as thematic activities, such as Black History Month. The Office also collaborates with local and national nonprofit agencies and organizations to provide community service on and off-campus.Location: Student Life Building 219Phone: 718-960-8535Fax: 718-960-7848",https://lehman.campuslabs.com/engage/organization/officeofcampuslife
Student Disabilities Center,"The mission of the Office of Student Disability Services (SDS) is to offer students with disabilities equal access to all Lehman programs and activities in a climate that is welcoming and conducive to individual growth. Our philosophy promotes independence, self-awareness, self-determination, and self-advocacy, by way of the following objectives:To provide appropriate, reasonable accommodations and support services to students with disabilities.To provide resources, advocacy, collaborative services, and outreach throughout the Lehman College community.To promote an open and hospitable environment campus-wide for students with disabilities.To educate staff, faculty, and students on disability issues.To provide sensitivity workshops to increase success and achievement among students with disabilities.In support of this mission, the SDS also provides referrals to both on-campus offices and outside agencies. On-campus offices include, but are not limited to,Academic Standards and EvaluationCareer Services CenterCounseling CenterStudent Health CenterOutside agencies include, but are not limited to, the New York State Commission for the Blind (NYSCB), the CUNY Learning Disability (LD) Project at City College, Adult Career and Continuing Education Services-Vocational Rehabilitation (ACCES-VR, formerly known as VESID) the International Center for the Disabled (ICD), and the New York State Readers Aid Program (NYSRAP).",https://lehman.campuslabs.com/engage/organization/studentdisabilitiescenter
National Association of Black Accountants Lehman Student Chapter,"The NABA Lehman College Student Chapter is dedicated to supporting and empowering students across all disciplines at Lehman College who are interested in accounting, finance, and business. As an affiliate of the National Association of Black Accountants (NABA), we are committed to fostering a diverse and inclusive environment where every student can thrive.Our chapter provides a range of opportunities including professional development workshops, networking events, guest speaker sessions, and community service projects. We strive to equip members with the skills and connections necessary to excel in their careers while promoting values of integrity, excellence, and leadership.At NABA Lehman College, we welcome all Lehman students, regardless of their major or background, who are passionate about advancing their knowledge and career prospects in the fields of accounting and finance. Join us to connect with a supportive community, enhance your professional skills, and make a meaningful impact in your field.",https://lehman.campuslabs.com/engage/organization/nabalehman
RUF Lehman,"RUF Lehman is a place where every student can feel seen, heard, understood, and can experience the love of Jesus.",https://lehman.campuslabs.com/engage/organization/ruf-lehman
CaribbeanUnity ,"CaribUnity – the club at Lehman College celebrating Caribbean Unity! Whether you're from the Caribbean or just curious about Caribbean culture, CaribUny is the club for you. Our club is a friendly space where students of all backgrounds can come together to share and explore the diverse Caribbean heritage. From tasty food to awesome beats, CaribUny is like a family that welcomes everyone, creating unity and understanding. Join us in making a blended community that values and enjoys the beauty of Caribbean culture. Let's make friends, have a blast, and celebrate togetherness at CaribUny!",https://lehman.campuslabs.com/engage/organization/caribbean_vibes
The Network for Stage & Screen Artists,"The Network for Stage & Screen Artists (Formerly known as The Lehman Film & Theatre Club) welcomes artists of all types (Actors, Directors, Singers, Writers, Musicians, Dancers, Animators, Photographers, etc.)We strive to create multiple production opportunities for students & alumni to build our portfolios, gain hands-on experience, build our network & maximize our visual storytelling skills.",https://lehman.campuslabs.com/engage/organization/association-stage-screen-artists-film-theatre-club
Lehman Marketing Club,"The purpose of Lehman Marketing Club is... To empower students by learning marketing through hands-on experience with tools like Canva and social media, while gaining a deep understanding of the 4Ps of marketing (Product, Price, Place, Promotion) As we go, we’ll explore how marketing agencies operate, develop skills through real-world projects, and continuously grow our knowledge as well as we go on.",https://lehman.campuslabs.com/engage/organization/lehmanmarketingclub
Leadership and Service Scholars,"The Leadership and Service Scholars are a selected group of students who play a leadership role on campus. Students who serve in student government, clubs and organizations, and students of the Center for Student Leadership development are invited to join.Student members will understand how to utilize their current roles as a stepping stone for further personal, academic and professional opportunities. We will provide advising, mentorship, skill building workshops, writing support, access to funding for research, graduate studies preparation, networking opportunities and more.",https://lehman.campuslabs.com/engage/organization/ls-scholars
Lehman Service,No Description Found,https://lehman.campuslabs.com/engage/organization/lehmanservice
Office of Wellness Education and Promotion,"What is Wellness?Wellness is the active pursuit of health and well-being. Being healthy is hard. Our health is impacted by all aspects of life, from our relationships, work, physical activity, food, and the environment. How we manage these factors and live a balanced lifestyle is what makes wellness so important for our personal health and wellbeing.Why Wellness?Being healthy is hard. Our health is impacted by all aspects of life, from our relationships, work, physical activity, food, and the environment. College is demanding and we believe that students who are healthy, engaged, resilient and empowered are better equipped to overcome the many challenges encountered during college.Our Services and Programs:Start your journey to better health! Our services are designed to help you become more healthy, engaged, resilient and empowered!Our services include:WorkshopsWellness Coaching and AssessmentsAlcohol and Other Drug Prevention ServicesRelationship Education and Violence PreventionBreastfeeding Support ServicesWellness OutreachEvents and ActivitiesInternship and Volunteer OpportunitiesStudent Employment",https://lehman.campuslabs.com/engage/organization/lehman-wellness-program
Blueprint to Success (2nd Cohort),No Description Found,https://lehman.campuslabs.com/engage/organization/blueprint2ndcohort
